country_code,city_code,city_name,time_zone
US,AED,Aleneva,America/Anchorage
US,BVX,Batesville,America/Chicago
US,SYL,San Miguel,America/Los_Angeles
US,BLH,Blythe,America/Los_Angeles
US,MOT,Minot,America/Chicago
US,CKE,Clear Lake,America/Los_Angeles
US,EKI,Elkhart,America/Indiana/Indianapolis
US,SUC,Sundance,America/Denver
US,NTJ,Manti,America/Denver
US,VCT,Victoria,America/Chicago
US,ETN,Eastland,America/Chicago
US,MFD,Mansfield,America/New_York
US,MSC,Mesa,America/Phoenix
US,GNT,Grants,America/Denver
US,PNN,Princeton,America/New_York
US,SDY,Sidney,America/Denver
US,PUW,Pullman,America/Los_Angeles
US,IVH,Ivishak,America/Anchorage
US,PSF,Pittsfield,America/New_York
US,OKM,Okmulgee,America/Chicago
US,FST,Fort Stockton,America/Chicago
US,BUF,Buffalo,America/New_York
US,SRF,San Rafael,America/Los_Angeles
US,PWD,Plentywood,America/Denver
US,OPL,Opelousas,America/Chicago
US,LIV,Livengood,America/Anchorage
US,MOR,Morristown,America/New_York
US,LIT,Little Rock,America/Chicago
US,BZT,Brazoria,America/Chicago
US,LZU,Lawrenceville,America/New_York
US,JKV,Jacksonville,America/Chicago
US,ALS,Alamosa,America/Denver
US,PVY,Pope Vanoy,America/Anchorage
US,ART,Watertown,America/New_York
US,KBC,Birch Creek,America/Anchorage
US,CMX,Hancock,America/Detroit
US,IPT,Williamsport,America/New_York
US,VSF,Springfield,America/New_York
US,BSW,Boswell Bay,America/Anchorage
US,EVM,Eveleth,America/Chicago
US,SMK,Saint Michael,America/Anchorage
US,LBF,North Platte,America/Chicago
US,CBE,Cumberland,America/New_York
US,SJT,San Angelo,America/Chicago
US,FTL,Fortuna Ledge,America/Nome
US,BKG,Branson,America/Chicago
US,PTA,Port Alsworth,America/Anchorage
US,HAI,Three Rivers,America/Detroit
US,IAN,Kiana,America/Anchorage
US,SKY,Sandusky,America/New_York
US,CZP,Cape Pole,America/Sitka
US,WOD,Wood River,America/Anchorage
US,DFW,Dallas,America/Chicago
US,WBB,Stebbins,America/Anchorage
US,HVN,New Haven,America/New_York
US,KSR,Sandy River,America/Anchorage
US,WLR,Loring,America/Sitka
US,MQI,Quincy,America/New_York
US,PHO,Point Hope,America/Anchorage
US,RRT,Warroad,America/Chicago
US,ASE,Aspen,America/Denver
US,SOW,Show Low,America/Phoenix
US,PCA,Portage Creek,America/Anchorage
US,EFO,East Fork,America/Nome
US,PMX,Palmer,America/New_York
US,WNC,Tuxekan Island,America/Anchorage
US,CDB,Cold Bay,America/Nome
US,YAK,Yakutat,America/Yakutat
US,SLO,Salem,America/Chicago
US,SBN,South Bend,America/Indiana/Indianapolis
US,INL,International Falls,America/Chicago
US,TCS,Truth Or Consequences,America/Denver
US,GLR,Gaylord,America/Detroit
US,BTL,Battle Creek,America/Detroit
US,TEH,Tetlin,America/Anchorage
US,STL,Saint Louis,America/Chicago
US,SPZ,Springdale,America/Chicago
US,DHN,Dothan,America/Chicago
US,TSP,Tehachapi,America/Los_Angeles
US,BGM,Binghamton,America/New_York
US,STJ,St Joseph,America/Chicago
US,VIK,Kavik,America/Anchorage
US,MYK,May Creek,America/Anchorage
US,TCC,Tucumcari,America/Denver
US,ARA,New Iberia,America/Chicago
US,ANP,Annapolis,America/New_York
US,PBI,West Palm Beach,America/New_York
US,IDG,Ida Grove,America/Chicago
US,PQS,Pilot Station,America/Anchorage
US,ELD,El Dorado,America/Chicago
US,AGO,Magnolia,America/Chicago
US,MAE,Madera,America/Los_Angeles
US,GBH,Galbraith Lake,America/Anchorage
US,OEA,Vincennes,America/Indiana/Vincennes
US,MKC,Kansas City,America/Chicago
US,OCH,Nacogdoches,America/Chicago
US,ILE,Killeen,America/Chicago
US,SHN,Shelton,America/Los_Angeles
US,WYS,West Yellowstone,America/Denver
US,DMN,Deming,America/Denver
US,ALW,Walla Walla,America/Los_Angeles
US,NME,Nightmute,America/Anchorage
US,FFA,Kill Devil Hills,America/New_York
US,GOK,Guthrie,America/Chicago
US,MHM,Minchumina,America/Anchorage
US,INK,Wink,America/Chicago
US,SPF,Spearfish,America/Denver
US,NBU,Glenview,America/Chicago
US,RDR,Red River,America/Chicago
US,CVG,Cincinnati,America/New_York
US,KNT,Kennett,America/Chicago
US,SLB,Storm Lake,America/Chicago
US,MCG,McGrath,America/Anchorage
US,AID,Anderson,America/Indiana/Indianapolis
US,ELV,Elfin Cove,America/Juneau
US,DLO,Dolomi,America/Sitka
US,MHL,Marshall,America/Chicago
US,MRB,Martinsburg,America/New_York
US,BAF,Westfield,America/New_York
US,THP,Thermopolis,America/Denver
US,JST,Johnstown,America/New_York
US,JCT,Junction,America/Chicago
US,SMO,Santa Monica,America/Los_Angeles
US,WTR,White River,America/Phoenix
US,COA,Columbia,America/Los_Angeles
US,FMY,Fort Myers,America/New_York
US,WEA,Weatherford,America/Chicago
US,ANW,Ainsworth,America/Chicago
US,CVR,Culver City,America/Los_Angeles
